,Coord_1_Casa,Coord_1_Lavoro,Coord_2_Casa,Coord_2_Lavoro,Giorni_al_1Lav,Giorni_al_2Lav,Id_Term,Km_Percorsi,N_Case,N_Giorni_Pres,N_Lavori,N_Soste_Univ,Notti_1Casa,Notti_2Casa,Notti_In,Notti_Out,Trans_Confine,Veh_Type
862,"[10.416546, 45.655825999999998]","[-1, -1]","[10.498056999999999, 45.626823999999999]","[-1, -1]",0,0,2712941,46656.545599999925,2,53,0,4,24,12,46,6,38,2
863,"[10.617205, 45.654687000000003]","[-1, -1]","[10.502117999999999, 45.609681999999999]","[-1, -1]",0,0,2712942,35699.69419999998,2,51,0,2,26,9,49,1,12,2
864,"[10.889746000000001, 45.413193]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712949,570399.4338999969,1,20,0,1,5,0,2,17,12,2
865,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2712953,22022.518700000004,0,4,0,1,0,0,0,3,1,2
866,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712954,48050.71249999998,0,8,0,1,0,0,3,4,8,2
867,"[-1, -1]","[-1, -1]","[-1, -1]","[-1, -1]",0,0,2712956,3781.316399999997,0,2,0,1,0,0,0,1,0,2
868,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712970,542770.8342999999,0,6,0,1,0,0,1,4,4,2
869,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712978,565433.0946,0,7,0,1,0,0,1,5,2,2
870,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712981,545703.8963999994,0,6,0,1,0,0,2,3,3,2
871,"[10.888291000000001, 45.270330999999999]","[-1, -1]","[10.861261000000001, 45.279338000000003]","[-1, -1]",0,0,2712982,41890.03849999995,2,45,0,1,21,19,41,3,73,2
872,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712984,480172.45629999985,0,8,0,1,0,0,4,3,2,2
873,"[10.887406, 45.413347999999999]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712988,546084.9297000001,1,14,0,1,4,0,5,8,7,2
874,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2712998,276101.6195000005,0,17,0,1,0,0,0,14,2,2
875,"[10.884062999999999, 45.413580000000003]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713004,561189.6300999987,1,24,0,1,6,0,3,19,14,2
876,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713008,13847.561100000004,0,3,0,1,0,0,1,1,2,2
877,"[10.485766, 45.623218999999999]","[-1, -1]","[10.476851, 45.609693]","[-1, -1]",0,0,2713012,2441.897599999998,2,60,0,1,42,8,57,1,0,2
878,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713017,31912.710500000005,0,7,0,1,0,0,2,3,5,2
879,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713018,519032.3728000003,0,7,0,1,0,0,2,4,4,2
880,"[10.087669, 45.335527999999996]","[-1, -1]","[10.131856000000001, 45.321742999999998]","[-1, -1]",0,0,2713054,17344.865800000058,2,41,0,0,35,2,41,0,24,2
881,"[9.874803, 45.633907999999998]","[-1, -1]","[9.8972099999999994, 45.639305999999998]","[-1, -1]",0,0,2713067,23658.308099999955,2,46,0,1,40,2,42,1,56,2
882,"[0, 0]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713082,511927.2620000003,0,10,0,1,0,0,1,8,4,2
883,"[10.756176, 45.385809000000002]","[-1, -1]","[0, 0]","[-1, -1]",0,0,2713094,8511.9995,1,28,0,1,25,0,26,1,22,2
